ORIGIN_AIRPORT,DESTINATION_AIRPORT,route_delay_rate
10685,11298,0.08333333333333333
10685,13487,1.0
10685,13930,0.0784313725490196
10693,10397,0.10106382978723404
10693,10423,0.09090909090909091
10693,10721,0.06060606060606061
10693,10821,0.15306122448979592
10693,10994,0.16666666666666666
10693,11042,0.0625
10693,11057,0.20454545454545456
10693,11066,0.12121212121212122
10693,11193,0.0
10693,11259,0.0784313725490196
10693,11278,0.09803921568627451
10693,11292,0.08759124087591241
10693,11298,0.05263157894736842
10693,11433,0.06837606837606838
10693,11481,0.19444444444444445
10693,11618,0.20430107526881722
10693,11697,0.2777777777777778
10693,12191,0.07936507936507936
10693,12266,0.06666666666666667
10693,12451,0.19607843137254902
10693,12478,0.05555555555555555
10693,12889,0.0196078431372549
10693,12892,0.08536585365853659
10693,12953,0.19834710743801653
10693,13198,0.07936507936507936
10693,13204,0.2037037037037037
10693,13232,0.0990990990990991
10693,13303,0.16666666666666666
10693,13487,0.1694915254237288
10693,13495,0.10416666666666667
10693,13796,0.05555555555555555
10693,13930,0.13744075829383887
10693,14100,0.21212121212121213
10693,14107,0.05555555555555555
10693,14122,0.3333333333333333
10693,14193,0.1111111111111111
10693,14492,0.19607843137254902
10693,14679,0.1111111111111111
10693,14683,0.12121212121212122
10693,14747,0.0
10693,14869,0.05555555555555555
10693,15016,0.06060606060606061
10693,15304,0.09803921568627451
10713,11292,0.16822429906542055
10713,11884,0.2
10713,12266,0.05555555555555555
10713,12889,0.2222222222222222
10713,12892,0.08333333333333333
10713,13487,0.1568627450980392
10713,13796,0.11428571428571428
10713,13930,0.030303030303030304
10713,14107,0.12280701754385964
10713,14679,0.05555555555555555
10713,14747,0.12222222222222222
10713,14771,0.15942028985507245
10713,14869,0.041237113402061855
10721,10154,0.16666666666666666
10721,10397,0.125
10721,10423,0.058823529411764705
10721,10693,0.0625
10721,10792,0.03571428571428571
10721,10821,0.104
10721,10994,0.05555555555555555
10721,11042,0.1111111111111111
10721,11057,0.18617021276595744
10721,11066,0.15151515151515152
10721,11193,0.2
10721,11259,0.05555555555555555
10721,11278,0.14797136038186157
10721,11292,0.12030075187969924
10721,11298,0.09090909090909091
10721,11433,0.08629441624365482
10721,11618,0.15636363636363637
10721,11697,0.2696629213483146
10721,12191,0.1111111111111111
10721,12264,0.13953488372093023
10721,12266,0.09090909090909091
10721,12339,0.06060606060606061
10721,12451,0.11764705882352941
10721,12478,0.19157088122605365
10721,12889,0.22535211267605634
10721,12892,0.1417004048582996
10721,12953,0.17484662576687116
10721,12954,0.2222222222222222
10721,13198,0.0
10721,13204,0.11811023622047244
10721,13232,0.14444444444444443
10721,13303,0.11764705882352941
10721,13342,0.06060606060606061
10721,13487,0.09473684210526316
10721,13495,0.2222222222222222
10721,13577,0.05555555555555555
10721,13930,0.08270676691729323
10721,14027,0.20754716981132076
10721,14057,0.0
10721,14100,0.19661016949152543
10721,14107,0.17105263157894737
10721,14122,0.06153846153846154
10721,14492,0.12941176470588237
10721,14524,0.18604651162790697
10721,14635,0.05555555555555555
10721,14679,0.0392156862745098
10721,14685,0.0
10721,14747,0.14492753623188406
10721,14771,0.10454545454545454
10721,14831,0.13333333333333333
10721,14843,0.17391304347826086
10721,14869,0.0967741935483871
10721,14986,0.1111111111111111
10721,15016,0.16666666666666666
10721,15024,0.0
10721,15304,0.13636363636363635
10728,11298,0.09803921568627451
10731,10397,0.09803921568627451
10732,11618,0.2727272727272727
10732,11697,0.14285714285714285
10732,12478,0.2777777777777778
10732,13204,0.2777777777777778
10739,13487,0.16666666666666666
10747,11298,0.05555555555555555
10747,12266,0.04838709677419355
10754,10299,0.1111111111111111
10754,11630,0.11764705882352941
10754,14709,0.0
10779,14869,0.0
10781,10397,0.23880597014925373
10781,11298,0.10526315789473684
10781,12266,0.05303030303030303
10785,10397,0.1111111111111111
10785,11433,0.18181818181818182
10785,11618,0.22580645161290322
10785,12478,0.125
10785,12953,0.2222222222222222
10785,13930,0.16666666666666666
10792,10397,0.04597701149425287
10792,10721,0.14285714285714285
10792,10821,0.10784313725490197
10792,11057,0.046875
10792,11433,0.0
10792,11618,0.25
10792,11697,0.0
10792,12478,0.15714285714285714
